motivo viaje,hora inicio,latitud origen,latitud destino,longitud origen,longitud destino,duracion viaje,dia habil,troncal origen,troncal destino
Volver a casa,19:45:00,4.71098,4.6326,-74.11426,-74.19645,02:00:00,0,C,G
Trabajar,05:06:00,4.746659999999999,4.733569999999999,-74.12156999999999,-74.26437,02:54:00,1,C,G
Volver a casa,17:00:00,4.733569999999999,4.746659999999999,-74.26437,-74.12156999999999,03:00:00,1,G,C
Trabajar,05:18:00,4.63087,4.650119999999999,-74.18024,-74.14690999999999,02:01:00,0,G,F
Volver a casa,13:21:19,4.650119999999999,4.63087,-74.14690999999999,-74.18024,01:40:01,0,F,G
Trabajar,05:38:00,4.63087,4.68841,-74.18024,-74.07339,02:01:00,0,G,D
Volver a casa,12:37:39,4.68841,4.63087,-74.07339,-74.18024,01:40:00,0,D,G
Trabajar,05:45:00,4.63445,4.75203,-74.19269,-74.0479,01:51:00,0,G,B
Ir a ver a alguien,17:53:00,4.75203,4.61132,-74.0479,-74.09416,01:49:00,0,B,J
Buscar/dejar dejar algo,09:16:00,4.57624,4.7165,-74.10308,-74.05259000000001,01:59:00,1,H,B
Volver a casa,18:00:00,4.7165,4.57644,-74.05259000000001,-74.10356,01:30:00,1,B,H
Estudiar,06:10:00,4.57644,4.626869999999999,-74.10356,-74.06881,01:00:00,1,H,A
Volver a casa,07:26:10,4.626869999999999,4.57644,-74.06881,-74.10356,02:20:00,1,A,H
Trabajar,07:11:00,4.57536,4.626869999999999,-74.10461,-74.06881,00:59:00,1,H,A
Volver a casa,15:01:10,4.626869999999999,4.57536,-74.06881,-74.10461,01:09:59,1,A,H
Tramites,10:19:00,4.58053,4.58511,-74.13611999999999,-74.22093000000001,01:00:00,1,H,G
Volver a casa,11:26:19,4.58511,4.58053,-74.22093000000001,-74.13611999999999,00:45:00,1,G,H
Trabajar,07:30:00,4.64281,4.6017,-74.1354,-74.08652,00:30:00,1,F,L
Volver a casa,17:00:00,4.6017,4.64281,-74.08652,-74.1354,00:21:00,1,L,F
Otra cosa,04:30:00,4.6786,4.68366,-74.14714000000001,-74.15605,01:00:00,1,F,F
Volver a casa,06:27:30,4.68366,4.6786,-74.15605,-74.14714000000001,00:13:00,1,F,F
Recibir atencion en salud,06:30:00,4.6786,4.604019999999999,-74.14714000000001,-74.16856,01:00:00,1,F,G
Volver a casa,08:37:30,4.604019999999999,4.6786,-74.16856,-74.14714000000001,01:10:00,1,G,F
Otra cosa,13:59:00,4.6786,4.59607,-74.14714000000001,-74.08051999999999,00:47:00,1,F,L
Volver a casa,16:44:00,4.59607,4.6786,-74.08051999999999,-74.14714000000001,01:35:00,1,L,F
Estudiar,06:01:00,4.6793,4.6070199999999994,-74.14775,-74.06908,01:00:00,1,F,J
