MOTIVOVIAJE,HORA_INICIO,HORA_FIN,LATITUD_ORIGEN,LATITUD_DESTINO,LONGITUD_ORIGEN,LONGITUD_DESTINO,DIFERENCIA_HORAS,DIA_HABIL
Volver a casa,19:30:00,21:00:00,4.61234,4.73233,-74.07043,-74.10085,01:30:00,1
Tramites,06:00:00,07:00:00,4.61238,4.65032,-74.07125,-74.06845,01:00:00,1
Volver a casa,09:30:00,10:30:00,4.65032,4.61238,-74.06845,-74.07125,01:00:00,1
Estudiar,04:30:00,06:30:00,4.74790,4.62612,-74.10000,-74.10196,02:00:00,1
Volver a casa,07:32:30,08:22:30,4.62612,4.74790,-74.10196,-74.10000,00:50:00,1
Trabajar,07:00:00,08:00:00,4.75386,4.69383,-74.10072,-74.03293,01:00:00,1
Volver a casa,13:46:00,14:36:00,4.69383,4.75386,-74.03293,-74.10072,00:50:00,1
Trabajar,06:00:00,07:30:00,4.69960,4.69161,-74.05512,-74.02912,01:30:00,1
Volver a casa,13:12:30,14:07:00,4.69161,4.75386,-74.02912,-74.10072,00:54:30,1
Trabajar,06:00:00,07:00:00,4.56819,4.68736,-74.11535,-74.05862,01:00:00,1
Volver a casa,16:30:00,17:30:00,4.68736,4.56819,-74.05862,-74.11535,01:00:00,1
Estudiar,06:45:00,07:14:00,4.54834,4.62284,-74.11380,-74.06946,00:29:00,1
Volver a casa,15:00:00,16:00:00,4.62284,4.54834,-74.06946,-74.11380,01:00:00,1
Asuntos de Trabajo,17:47:00,18:47:00,4.64989,4.64005,-74.06609,-74.06288,01:00:00,1
Volver a casa,22:30:00,22:33:00,4.64005,4.64989,-74.06288,-74.06609,00:03:00,1
Tramites,05:30:00,06:30:00,4.56987,4.69355,-74.08040,-74.05496,01:00:00,1
Volver a casa,09:00:00,10:00:00,4.69355,4.56987,-74.05496,-74.08040,01:00:00,1
Otra cosa,05:30:00,06:30:00,4.56987,4.69347,-74.08040,-74.05490,01:00:00,1
Volver a casa,09:15:00,10:15:00,4.69347,4.56987,-74.05490,-74.08040,01:00:00,1
Trabajar,07:30:00,08:20:00,4.63614,4.68544,-74.15787,-74.04496,00:50:00,0
Estudiar,06:00:00,07:31:00,4.63875,4.59881,-74.15686,-74.07228,01:31:00,0
Volver a casa,12:00:00,13:31:00,4.59881,4.63875,-74.07228,-74.15686,01:31:00,0
Trabajar,06:50:00,08:00:00,4.63828,4.66200,-74.15732,-74.05793,01:10:00,0
Volver a casa,17:40:00,19:14:00,4.66200,4.63705,-74.05793,-74.15762,01:34:00,0
Recibir atencion en salud,06:30:00,07:10:00,4.63568,4.62963,-74.15717,-74.12281,00:40:00,0
Volver a casa,08:46:10,09:56:50,4.62963,4.63568,-74.12281,-74.15717,01:10:40,0
Trabajar,05:30:00,06:30:00,4.56867,4.69146,-74.11566,-74.07427,01:00:00,1
Volver a casa,12:32:30,13:47:30,4.69146,4.56867,-74.07427,-74.11566,01:15:00,1
Trabajar,07:00:00,08:30:00,4.57284,4.70802,-74.12297,-74.05325,01:30:00,1
Volver a casa,18:00:00,19:30:00,4.70802,4.57001,-74.05325,-74.11796,01:30:00,1
Trabajar,05:15:00,05:50:00,4.63672,4.62856,-74.15731,-74.10608,00:35:00,0
Volver a casa,13:15:00,14:30:00,4.62856,4.63672,-74.10608,-74.15731,01:15:00,0
Trabajar,07:49:00,08:48:00,4.63232,4.63263,-74.18963,-74.06899,00:59:00,1
Estudiar,17:55:00,18:55:00,4.63263,4.63389,-74.06899,-74.07574,01:00:00,1
Recibir atencion en salud,05:06:00,06:06:00,4.62853,4.63306,-74.18986,-74.07047,01:00:00,1
Volver a casa,17:15:00,18:04:00,4.63306,4.62853,-74.07047,-74.18986,00:49:00,1
Recibir atencion en salud,05:11:00,06:00:00,4.62853,4.63256,-74.18986,-74.06779,00:49:00,1
Volver a casa,06:34:08,08:15:08,4.63256,4.62853,-74.06779,-74.18986,01:41:00,1
Trabajar,07:00:00,08:00:00,4.74821,4.62259,-74.10015,-74.06936,01:00:00,1
Volver a casa,14:21:00,16:04:00,4.62259,4.74821,-74.06936,-74.10015,01:43:00,1
Compras,06:15:00,07:15:00,4.61030,4.60060,-74.17899,-74.07872,01:00:00,0
Volver a casa,12:00:00,14:30:00,4.60060,4.61030,-74.07872,-74.17899,02:30:00,0
Trabajar,05:30:00,07:30:00,4.56937,4.70173,-74.11772,-74.08178,02:00:00,1
Volver a casa,14:52:30,16:42:30,4.70173,4.56937,-74.08178,-74.11772,01:50:00,1
Trabajar,08:30:00,09:58:00,4.54917,4.66338,-74.11417,-74.07287,01:28:00,1
Volver a casa,17:00:00,18:00:00,4.66338,4.54917,-74.07287,-74.11417,01:00:00,1
Recibir atencion en salud,10:00:00,10:30:00,4.55351,4.60134,-74.11582,-74.06932,00:30:00,1
Volver a casa,13:00:00,14:30:00,4.60134,4.56924,-74.06932,-74.11827,01:30:00,1
Trabajar,04:30:00,06:28:00,4.54741,4.71767,-74.11278,-74.10335,01:58:00,1
Volver a casa,17:00:00,19:20:00,4.71767,4.54741,-74.10335,-74.11278,02:20:00,1
Trabajar,07:00:00,08:30:00,4.74440,4.57308,-74.09445,-74.13935,01:30:00,1
Volver a casa,14:57:30,16:56:30,4.57308,4.74440,-74.13935,-74.09445,01:59:00,1
Trabajar,05:30:00,07:00:00,4.74810,4.65163,-74.09991,-74.04978,01:30:00,1
Volver a casa,12:01:00,14:51:00,4.65163,4.74810,-74.04978,-74.09991,02:50:00,1
Ir a ver a alguien,11:58:00,12:44:00,4.63143,4.63127,-74.17965,-74.06342,00:46:00,0
Estudiar,04:30:00,07:30:00,4.67956,4.58982,-74.13880,-74.07421,03:00:00,1
Volver a casa,07:42:30,09:32:30,4.58982,4.67925,-74.07421,-74.13837,01:50:00,1
Estudiar,06:45:00,08:45:00,4.67925,4.58982,-74.13837,-74.07421,02:00:00,1
Volver a casa,09:37:45,10:27:45,4.58982,4.67925,-74.07421,-74.13837,00:50:00,1
Estudiar,06:10:00,07:15:00,4.73045,4.65061,-74.08976,-74.07001,01:05:00,1
Volver a casa,20:00:00,20:45:00,4.65061,4.73213,-74.07001,-74.10074,00:45:00,1
Tramites,09:00:00,10:00:00,4.73213,4.61132,-74.10074,-74.09416,01:00:00,1
Volver a casa,11:00:00,12:15:00,4.61132,4.73213,-74.09416,-74.10074,01:15:00,1
Trabajar,08:00:00,10:30:00,4.73148,4.56908,-74.10190,-74.12069,02:30:00,1
Tramites,08:00:00,10:00:00,4.73506,4.60039,-74.10220,-74.07572,02:00:00,1
Volver a casa,10:21:00,12:01:00,4.60039,4.73506,-74.07572,-74.10220,01:40:00,1
Trabajar,05:30:00,06:42:00,4.73518,4.69315,-74.10250,-74.15664,01:12:00,1
Volver a casa,07:44:26,09:25:56,4.69315,4.73518,-74.15664,-74.10250,01:41:30,1
Compras,13:35:00,15:36:00,4.73625,4.61076,-74.10886,-74.07346,02:01:00,1
Volver a casa,17:32:00,18:42:00,4.61076,4.73625,-74.07346,-74.10886,01:10:00,1
Estudiar,06:51:00,07:51:00,4.73639,4.61003,-74.10911,-74.06571,01:00:00,1
Volver a casa,15:56:00,17:56:00,4.61003,4.73625,-74.06571,-74.10886,02:00:00,1
Estudiar,06:51:00,07:51:00,4.73330,4.73882,-74.10410,-74.10731,01:00:00,1
Volver a casa,15:56:00,17:56:00,4.73882,4.73330,-74.10731,-74.10410,02:00:00,1
Trabajar,05:45:00,07:36:00,4.64451,4.75363,-74.17108,-74.05673,01:51:00,0
Ir a ver a alguien,17:53:00,19:43:00,4.75363,4.60961,-74.05673,-74.09413,01:50:00,0
Trabajar,05:38:00,07:39:00,4.64451,4.68726,-74.17108,-74.08121,02:01:00,0
Volver a casa,12:37:39,14:10:39,4.68726,4.64451,-74.08121,-74.17108,01:33:00,0
Trabajar,07:00:00,07:30:00,4.56689,4.57418,-74.11357,-74.16552,00:30:00,1
Volver a casa,18:00:00,18:30:00,4.57418,4.56689,-74.16552,-74.11357,00:30:00,1
Trabajar,05:00:00,06:00:00,4.56916,4.60460,-74.11784,-74.07708,01:00:00,1
Volver a casa,16:20:00,17:20:00,4.60460,4.56916,-74.07708,-74.11784,01:00:00,1
